epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43423,1.45245,2.30229,1.18789,0.01783,0.51636,0.32562,0.17894,1.25172,3.30017,1.04135,0.000462724,0.000462724,0.000462724
2,16.1964,1.23305,1.39933,1.10601,0.94502,0.14752,0.44997,0.28406,1.2619,2.65402,1.07064,0.000892574,0.000892574,0.000892574
3,22.6314,1.16802,1.25244,1.07825,0.90337,0.4683,0.73,0.47905,1.12149,1.8829,1.01993,0.00127527,0.00127527,0.00127527
4,28.9677,1.09626,1.13477,1.05386,0.88044,0.74211,0.81202,0.51827,1.04571,1.16059,0.99618,0.00121679,0.00121679,0.00121679
5,35.2094,1.03468,1.03481,1.03022,0.86556,0.79457,0.86078,0.56309,1.00333,0.89867,0.98446,0.00114606,0.00114606,0.00114606
6,41.4588,0.99948,0.96685,1.01728,0.93526,0.80327,0.89943,0.64198,0.90156,0.79086,0.94086,0.00107532,0.00107532,0.00107532
7,47.6793,0.97451,0.91362,1.00524,0.91036,0.83547,0.91197,0.65092,0.88161,0.75519,0.93326,0.00100459,0.00100459,0.00100459
8,53.9377,0.93223,0.84384,0.98711,0.90902,0.85807,0.92415,0.66117,0.8656,0.67829,0.91612,0.000933851,0.000933851,0.000933851
9,60.027,0.89291,0.79624,0.97123,0.92697,0.85069,0.92572,0.6735,0.82641,0.64826,0.91486,0.000863116,0.000863116,0.000863116
10,66.1671,0.86619,0.77772,0.96884,0.9471,0.86477,0.94052,0.68073,0.80899,0.60361,0.91316,0.00079238,0.00079238,0.00079238
11,73.6602,0.85958,0.90392,0.96556,0.93318,0.8599,0.93686,0.6878,0.80951,0.63421,0.90711,0.000721645,0.000721645,0.000721645
12,79.7803,0.83125,0.81525,0.94971,0.92184,0.85293,0.93031,0.67155,0.83931,0.65019,0.91978,0.000650909,0.000650909,0.000650909
13,85.8408,0.83104,0.78677,0.94472,0.93054,0.8753,0.94551,0.68775,0.80564,0.59904,0.90641,0.000580174,0.000580174,0.000580174
14,91.8575,0.79885,0.74357,0.93674,0.93052,0.90204,0.95005,0.70157,0.75983,0.58941,0.90073,0.000509438,0.000509438,0.000509438
15,97.907,0.77507,0.71748,0.92716,0.93939,0.9072,0.94909,0.71171,0.73942,0.53808,0.88516,0.000438703,0.000438703,0.000438703
16,103.998,0.77636,0.69573,0.93069,0.95318,0.88738,0.94801,0.72346,0.74737,0.54702,0.89217,0.000367967,0.000367967,0.000367967
17,109.961,0.74326,0.67455,0.91751,0.94927,0.91148,0.95448,0.73257,0.71767,0.51871,0.87885,0.000297232,0.000297232,0.000297232
18,116.095,0.71105,0.64006,0.90423,0.94995,0.91172,0.95678,0.74878,0.67718,0.49341,0.8658,0.000226497,0.000226497,0.000226497
19,122.194,0.70173,0.63165,0.90018,0.94388,0.90647,0.95656,0.75071,0.67241,0.49753,0.86545,0.000155761,0.000155761,0.000155761
20,128.293,0.68363,0.61467,0.8954,0.93369,0.91722,0.95806,0.7596,0.65806,0.47873,0.85924,8.50255e-05,8.50255e-05,8.50255e-05
